1;2;3;4;5;6;7;8;9
1;Количество обратившихся в поиске работы за отчетный период (чел.), в том числе:;;;;;;;
;- граждан, уволенных с военной службы, проходивших военную службу по контракту;;;;;;;
;- членов семей военнослужащих, проходящих военную службу по контракту;;;;;;;
2;Нашли работу (доходное занятие) за отчетный период (чел.), в том числе:;;;;;;;
;- граждан, уволенных с военной службы, проходивших военную службу по контракту;;;;;;;
;- членов семей военнослужащих, проходящих военную службу по контракту;;;;;;;
3;Направлено на профессиональное обучение в отчетном периоде(чел.), в том числе:;;;;;;;
;- граждан, уволенных с военной службы, проходивших военную службу по контракту;;;;;;;
;- членов семей военнослужащих, проходящих военную службу по контракту;;;;;;;
4;Нашли работу (доходное занятие) после профессионального обучения (чел.), в том числе:;;;;;;;
;- граждан, уволенных с военной службы, проходивших военную службу по контракту;;;;;;;
;- членов семей военнослужащих, проходящих военную службу по контракту;;;;;;;
5;Информирование военнослужащих о положении на рынке труда в регионе (дислокации воинских частей):;;;;;;;
;- граждан, уволенных с военной службы, проходивших военную службу по контракту;;;;;;;
;- членов семей военнослужащих, проходящих военную службу по контракту;;;;;;;
6;Оказание содействия в поиске подходящей работы:;;;;;;;
;- граждан, уволенных с военной службы, проходивших военную службу по контракту;;;;;;;
;- членов семей военнослужащих, проходящих военную службу по контракту;;;;;;;
7;Количество мероприятий, проведенных в помещениях центров занятости населения;;;;;;;
;- граждан, уволенных с военной службы, проходивших военную службу по контракту;;;;;;;
;- членов семей военнослужащих, проходящих военную службу по контракту;;;;;;;
8;Информация о датах и адресах, периодичности и количестве ярмарок вакансий;;;;;;;Количество спланированных мероприятий - :

			ДД.ММ.ГГ г. - Наименование мероприятия, адрес проведения
