1;2;3;4;5;6;7;8;9
1; оличество меропри€тий военно- патриотической направленности;13;14;15;16;17;;1 - в 3 квартале (запрет на проведение общественных меропри€тий, в св€зи с пандемией)
2; оличество публикаций в средствах массовой информации о проведенных меропри€ти€х;;;;;;;
3; оличество привлеченных военнослужащих:;;;;;;;
на тематические встречи;;;;;;;
на дни открытых дверей;;;;;;;
на показы ¬¬—“;;;;;;;
на показные зан€ти€;;;;;;;
иные меропри€ти€;;;;;;;
4; оличество привлеченных граждан:;;;;;;;
на тематические встречи;;;;;;;
на дни открытых дверей;;;;;;;
на показы ¬¬—“;;;;;;;
на показные зан€ти€;;;;;;;
иные меропри€ти€;;;;;;;
5; оличество меропри€тий военно- патриотической направленности, спланированных на следующий квартал;;;;;;;
